Platform, Types,Branch,EnableX32GOP,Enablex32Vbios,Enablex64GOP,EnableX64Vbios,ProductionUI,UI_FEATURES,PortOption,DNXOption,KSCOption,SecondStage,DediprogOption,VIsibleProject
ICL,ULX,CLIENT,NO,NO,YES,NO,NA,NA,YES,NO,NO,NO,YES,YES
ICL,ULT,CLIENT,NO,NO,YES,NO,NA,NA,YES,NO,NO,NO,YES,YES
ICL,DT8,CLIENT,NO,NO,YES,NO,NA,NA,YES,NO,NO,NO,YES,YES
ICL,DT10,CLIENT,NO,NO,YES,NO,NA,NA,YES,NO,NO,NO,YES,YES
ICL,HALO,CLIENT,NO,NO,YES,NO,NA,NA,YES,NO,NO,NO,YES,YES
CFL,HALO,CLIENT,NO,NO,YES,NO,PROD,NA,YES,NO,YES,NO,YES,YES
CFL,DT10,CLIENT,NO,NO,YES,NO,PROD,NA,YES,NO,YES,NO,YES,YES
CFL,DT8,CLIENT,NO,NO,YES,NO,PROD,NA,YES,NO,YES,NO,YES,YES
CFL,ULT,CLIENT,NO,NO,YES,NO,PROD,NA,YES,NO,YES,NO,YES,YES
CNL,HALO,CLIENT,NO,NO,YES,NO,NA,NA,YES,NO,YES,NO,YES,YES
CNL,ULT,CLIENT,NO,NO,YES,NO,NA,NA,YES,NO,YES,NO,YES,YES
CNL,ULX,CLIENT,NO,NO,YES,NO,NA,NA,YES,NO,YES,NO,YES,YES
GLK,RVP1,TABLET,NO,NO,YES,NO,PROD,MIPI-,YES,NO,YES,NO,YES,YES
KBL,RVP3,CLIENT,NO,NO,YES,YES,PROD,NA,YES,NO,NO,NO,YES,YES
KBL,RVP7,CLIENT,NO,NO,YES,YES,PROD,STEPPING,YES,NO,NO,NO,YES,YES
KBL,RVP8,CLIENT,NO,NO,YES,YES,PROD,NA,YES,NO,NO,NO,YES,YES
KBL,RVP11,CLIENT,NO,NO,YES,YES,PROD,NA,YES,NO,NO,NO,YES,YES
KBL,RVP10,CLIENT,NO,NO,YES,YES,PROD,NA,YES,NO,NO,NO,YES,YES
SKL,ULX,CLIENT,NO,NO,YES,YES,NA,NA,YES,NO,NO,NO,YES,YES
SKL,ULT,CLIENT,NO,NO,YES,YES,NA,NA,YES,NO,NO,NO,YES,YES
SKL,DT8,CLIENT,NO,NO,YES,YES,NA,NA,YES,NO,NO,NO,YES,YES
SKL,HALO,CLIENT,NO,NO,YES,YES,NA,NA,YES,NO,NO,NO,YES,YES
SKL,DT10,CLIENT,NO,NO,YES,YES,NA,NA,YES,NO,NO,NO,YES,YES
BXT,RVP,TABLET,YES,NO,YES,NO,NA,MIPI-SEQ,YES,YES,YES,NO,YES,YES
BXT,APL,TABLET,YES,YES,YES,YES,NA,MIPI-SEQ-CS-HYBRID-STEPPING,YES,NO,YES,NO,YES,YES
CHV,HR,TABLET,YES,NO,YES,NO,NA,MIPI-,YES,NO,NO,YES,YES,YES
CHV,RVP-CH2T,TABLET,YES,NO,YES,NO,NA,MIPI-STEPPING,YES,NO,NO,YES,YES,YES
CHV,RVP-CR,TABLET,YES,NO,YES,NO,NA,MIPI-,YES,NO,NO,YES,YES,YES
CHV,BSW,TABLET,YES,NO,YES,YES,NA,NA,YES,NO,NO,YES,YES,YES
BDW,ULX,CLIENT,NO,NO,YES,YES,PROD,NA,YES,NO,NO,NO,YES,YES
BDW,ULT,CLIENT,NO,NO,YES,YES,PROD,NA,YES,NO,NO,NO,YES,YES
BDW,HALO,CLIENT,NO,NO,YES,YES,NA,NA,YES,NO,NO,NO,YES,YES
HSW,MB,CLIENT,NO,NO,YES,YES,NA,NA,YES,NO,NO,NO,YES,YES
HSW,DT,CLIENT,NO,NO,YES,YES,NA,NA,YES,NO,NO,NO,YES,YES
HSW,ULT,CLIENT,NO,NO,YES,YES,NA,NA,YES,NO,NO,NO,YES,YES
HSW,REFRESH,CLIENT,NO,NO,YES,YES,NA,NA,YES,NO,NO,NO,YES,YES
HSW,ULT-REFRESH,CLIENT,NO,NO,YES,YES,NA,NA,YES,NO,NO,NO,YES,YES
HSW-BDW,MB,CLIENT,NO,NO,YES,YES,NA,NA,YES,NO,NO,NO,YES,YES
HSW-BDW,DT,CLIENT,NO,NO,YES,YES,NA,NA,YES,NO,NO,NO,YES,YES
IVB,MB,CLIENT,NO,NO,YES,YES,NA,NA,YES,NO,NO,NO,YES,YES
IVB,DT,CLIENT,NO,NO,YES,YES,NA,NA,YES,NO,NO,NO,YES,YES
SNB,MB,CLIENT,NO,NO,YES,YES,NA,NA,YES,NO,NO,NO,YES,YES
SNB,DT,CLIENT,NO,NO,YES,YES,NA,NA,YES,NO,NO,NO,YES,YES
VLV,BYT-CR,TABLET,NO,NO,YES,YES,NA,MIPI-,YES,NO,NO,NO,YES,YES
VLV,FFRD-ANDROID,TABLET,NO,NO,YES,YES,NA,NA,NO,NO,NO,NO,YES,YES
VLV,BBY,TABLET,YES,NO,YES,YES,NA,NA,NO,NO,NO,NO,YES,YES
VLV,BBY-HG,TABLET,NO,NO,YES,NO,NA,NA,NO,NO,NO,NO,YES,YES
VLV,BLK,TABLET,NO,NO,YES,YES,NA,MIPI-,NO,NO,NO,NO,YES,YES
DUMMYCLIENT,DUMMTYPE,CLIENT,NO,NO,YES,NO,PROD,NA,YES,NO,YES,NO,YES,YES
DUMMYTABLET,DUMMTYPEMBL,TABLET,YES,YES,YES,YES,PROD,MIPI-SEQ-CS-HYBRID-STEPPING,YES,YES,YES,YES,YES,YES
